fecha,provincia,temperatura_med,temperatura_max,direccion_viento,velocidad_med_viento,racha_viento,año,ZONA_PROYECTO
2024-07-23,EIVISSA,25.2,31.8,18,2.5,7.5,2024,Ibiza
2024-07-24,EIVISSA,25.2,31.4,11,2.5,6.7,2024,Ibiza
2024-07-25,EIVISSA,26.6,30.7,13,3.1,7.5,2024,Ibiza
2024-07-26,EIVISSA,27.2,33.3,10,2.5,7.8,2024,Ibiza
2024-07-27,EIVISSA,26.1,31.3,8,2.5,8.6,2024,Ibiza
2024-07-28,EIVISSA,29.1,33.7,9,2.8,8.6,2024,Ibiza
2024-07-29,EIVISSA,29.3,34.9,10,2.5,7.2,2024,Ibiza
2024-07-30,EIVISSA,29.2,35.4,8,2.5,7.8,2024,Ibiza
2024-07-31,EIVISSA,28.9,35.4,11,2.5,7.5,2024,Ibiza
2025-07-15,EIVISSA,28.4,34.0,7,3.3,7.8,2025,Ibiza
2025-07-16,EIVISSA,27.2,32.2,20,2.5,6.7,2025,Ibiza
2025-07-17,EIVISSA,29.3,34.2,20,3.6,6.9,2025,Ibiza
2025-07-18,EIVISSA,29.8,34.0,19,3.3,7.5,2025,Ibiza
2025-07-19,EIVISSA,30.0,37.8,32,2.5,9.4,2025,Ibiza
2025-07-20,EIVISSA,28.2,34.1,20,3.6,7.5,2025,Ibiza
2025-07-21,EIVISSA,30.8,36.0,36,3.1,8.3,2025,Ibiza
2025-07-22,EIVISSA,28.8,31.8,99,3.3,7.5,2025,Ibiza
2025-07-23,EIVISSA,26.5,31.1,16,2.5,6.1,2025,Ibiza
2025-07-24,EIVISSA,26.6,29.4,5,4.2,12.5,2025,Ibiza
2025-07-25,EIVISSA,24.4,29.4,7,3.3,10.0,2025,Ibiza
2025-07-26,EIVISSA,24.4,31.0,20,2.8,8.3,2025,Ibiza
2025-07-27,EIVISSA,24.6,31.4,23,3.1,8.9,2025,Ibiza
2025-07-28,EIVISSA,26.6,32.7,35,2.5,8.6,2025,Ibiza
2025-07-29,EIVISSA,25.2,29.8,10,3.9,7.8,2025,Ibiza
2025-07-30,EIVISSA,24.2,29.9,15,2.2,5.8,2025,Ibiza
2025-07-31,EIVISSA,24.7,30.5,10,2.2,7.2,2025,Ibiza
2023-07-15,A CORUÑA,19.8,23.0,21,5.3,12.2,2023,A Coruña
2023-07-16,A CORUÑA,19.3,22.9,29,2.8,7.8,2023,A Coruña
2023-07-17,A CORUÑA,19.0,23.6,35,4.4,10.6,2023,A Coruña
2023-07-18,A CORUÑA,20.7,24.2,36,3.1,9.4,2023,A Coruña
2023-07-19,A CORUÑA,20.2,22.6,36,3.9,11.4,2023,A Coruña
2023-07-20,A CORUÑA,20.4,24.1,28,1.9,7.5,2023,A Coruña
2023-07-21,A CORUÑA,19.6,23.0,36,3.3,8.9,2023,A Coruña
2023-07-22,A CORUÑA,19.8,22.2,36,3.3,8.3,2023,A Coruña
2023-07-23,A CORUÑA,20.7,24.3,22,3.6,11.4,2023,A Coruña
2023-07-24,A CORUÑA,20.2,23.2,29,2.5,9.4,2023,A Coruña
2023-07-25,A CORUÑA,20.2,23.1,30,3.1,6.7,2023,A Coruña
2023-07-26,A CORUÑA,19.9,22.7,31,2.8,6.7,2023,A Coruña
2023-07-27,A CORUÑA,22.2,25.3,29,4.2,13.1,2023,A Coruña
2023-07-28,A CORUÑA,23.3,26.8,22,4.4,12.8,2023,A Coruña
2023-07-29,A CORUÑA,20.8,23.8,29,3.9,8.3,2023,A Coruña
2023-07-30,A CORUÑA,19.6,23.1,35,2.8,7.2,2023,A Coruña
2023-07-31,A CORUÑA,21.5,25.7,25,4.2,11.7,2023,A Coruña
2024-07-15,A CORUÑA,19.8,23.3,25,5.0,13.9,2024,A Coruña
2024-07-16,A CORUÑA,19.2,21.2,23,2.8,6.9,2024,A Coruña
2024-07-17,A CORUÑA,20.0,24.7,28,2.5,7.2,2024,A Coruña
2024-07-18,A CORUÑA,20.2,24.0,35,1.7,5.3,2024,A Coruña
2024-07-19,A CORUÑA,21.2,25.1,28,2.2,6.4,2024,A Coruña
2024-07-20,A CORUÑA,20.0,22.7,26,3.1,12.5,2024,A Coruña
2024-07-21,A CORUÑA,18.8,20.9,99,3.3,8.3,2024,A Coruña
2024-07-22,A CORUÑA,19.9,24.8,34,2.8,10.8,2024,A Coruña
2024-07-23,A CORUÑA,20.6,23.8,34,1.9,9.7,2024,A Coruña
2024-07-24,A CORUÑA,20.4,22.8,34,4.4,12.8,2024,A Coruña
2024-07-25,A CORUÑA,19.2,21.4,35,3.3,10.3,2024,A Coruña
2024-07-26,A CORUÑA,21.1,24.6,36,3.3,8.9,2024,A Coruña
2024-07-27,A CORUÑA,20.0,22.0,35,4.2,11.7,2024,A Coruña
2024-07-28,A CORUÑA,22.6,26.7,36,2.2,8.3,2024,A Coruña
2024-07-29,A CORUÑA,22.4,25.3,14,1.7,6.9,2024,A Coruña
2024-07-30,A CORUÑA,24.3,29.0,15,3.3,8.3,2024,A Coruña
2024-07-31,A CORUÑA,19.8,22.2,29,2.5,6.4,2024,A Coruña
2025-07-15,A CORUÑA,18.7,22.0,35,1.9,10.6,2025,A Coruña
2025-07-16,A CORUÑA,20.3,24.6,29,2.2,9.4,2025,A Coruña
2025-07-17,A CORUÑA,20.2,22.6,28,2.8,6.9,2025,A Coruña
2025-07-18,A CORUÑA,20.2,23.4,28,3.1,12.5,2025,A Coruña
2025-07-19,A CORUÑA,19.8,22.4,20,5.8,19.4,2025,A Coruña
2025-07-20,A CORUÑA,19.5,22.9,26,5.8,16.1,2025,A Coruña
2025-07-21,A CORUÑA,20.2,23.0,24,4.4,10.3,2025,A Coruña
2025-07-22,A CORUÑA,19.9,22.2,26,3.3,10.0,2025,A Coruña
2025-07-23,A CORUÑA,20.0,22.4,99,4.2,7.8,2025,A Coruña
2025-07-24,A CORUÑA,19.4,21.8,99,5.8,13.9,2025,A Coruña
2025-07-25,A CORUÑA,19.4,21.8,36,5.8,13.6,2025,A Coruña
2025-07-26,A CORUÑA,19.0,21.3,36,5.6,13.1,2025,A Coruña
2025-07-27,A CORUÑA,20.4,23.1,33,1.9,7.2,2025,A Coruña
2025-07-28,A CORUÑA,19.8,21.9,1,3.6,11.1,2025,A Coruña
2025-07-29,A CORUÑA,20.4,23.3,36,5.3,14.2,2025,A Coruña
2025-07-30,A CORUÑA,19.6,21.4,2,5.3,13.1,2025,A Coruña
2025-07-31,A CORUÑA,20.3,23.3,1,5.6,14.2,2025,A Coruña
